year,rank,artist,title,chart
1970,1,Band of Gold Freda Payne,10,Top40Weekly Top 100
1970,2,Mama Told Me (Not to Come) Three Dog Night,11,Top40Weekly Top 100
1970,3,Everything Is Beautiful Ray Stevens,12,Top40Weekly Top 100
1970,4,Make It with You Bread,13,Top40Weekly Top 100
1970,5,Hitchin’ a Ride Vanity Fare,14,Top40Weekly Top 100
1970,6,ABC The Jackson 5,15,Top40Weekly Top 100
1970,7,The Love You Save The Jackson 5,16,Top40Weekly Top 100
1970,8,Cracklin’ Rosie Neil Diamond,17,Top40Weekly Top 100
1970,9,Candida Dawn,18,Top40Weekly Top 100
1970,10,Thank You (Falettinme Be Mice Elf Agin) Sly & the Family Stone,19,Top40Weekly Top 100
1970,11,Spill the Wine Eric Burdon & War,20,Top40Weekly Top 100
1970,12,O-o-h Child Five Stairsteps,21,Top40Weekly Top 100
1970,13,Spirit in the Sky Norman Greenbaum,22,Top40Weekly Top 100
1970,14,Lay Down (Candles in the Rain) Melanie,23,Top40Weekly Top 100
1970,15,Ball of Confusion (That’s What the World Is Today) The Temptations,24,Top40Weekly Top 100
1970,16,Love on a Two-Way Street The Moments,25,Top40Weekly Top 100
1970,17,Which Way You Goin’ Billy? The Poppy Family,26,Top40Weekly Top 100
1970,18,All Right Now Free,27,Top40Weekly Top 100
1970,19,I Want You Back The Jackson 5,28,Top40Weekly Top 100
1970,20,"Julie, Do Ya Love Me Bobby Sherman",29,Top40Weekly Top 100
1970,21,Green-Eyed Lady Sugarloaf,30,Top40Weekly Top 100
1970,22,"Signed, Sealed, Delivered I’m Yours Stevie Wonder",31,Top40Weekly Top 100
1970,23,Ride Captain Ride Blues Image,32,Top40Weekly Top 100
1970,24,Venus Shocking Blue,33,Top40Weekly Top 100
1970,25,Instant Karma! John Lennon,34,Top40Weekly Top 100
1970,26,Patches Clarence Carter,35,Top40Weekly Top 100
1970,27,Lookin’ out My Back Door Creedence Clearwater Revival,36,Top40Weekly Top 100
1970,28,Rainy Night in Georgia Brook Benton,37,Top40Weekly Top 100
1970,29,Something’s Burning Kenny Rogers & The First Edition,38,Top40Weekly Top 100
1970,30,Give Me Just a Little More Time Chairmen of the Board,39,Top40Weekly Top 100
1970,31,Love Grows (Where My Rosemary Goes) Edison Lighthouse,40,Top40Weekly Top 100
1970,32,The Long and Winding Road The Beatles,41,Top40Weekly Top 100
1970,33,Snowbird Anne Murray,42,Top40Weekly Top 100
1970,34,Reflections of My Life Marmalade,43,Top40Weekly Top 100
1970,35,Hey There Lonely Girl Eddie Holman,44,Top40Weekly Top 100
1970,36,The Rapper The Jaggerz,45,Top40Weekly Top 100
1970,37,"He Ain’t Heavy, He’s My Brother The Hollies",46,Top40Weekly Top 100
1970,38,"Tighter, Tighter Alive N Kickin’",47,Top40Weekly Top 100
1970,39,Come and Get It Badfinger,48,Top40Weekly Top 100
1970,40,Cecilia Simon & Garfunkel,49,Top40Weekly Top 100
1970,41,Love Land Charles Wright & the Watts 103rd Street Rhythm Band,50,Top40Weekly Top 100
1970,42,Turn Back the Hands of Time Tyrone Davis,51,Top40Weekly Top 100
1970,43,Lola The Kinks,52,Top40Weekly Top 100
1970,44,In the Summertime Mungo Jerry,53,Top40Weekly Top 100
1970,45,Indiana Wants Me R. Dean Taylor,54,Top40Weekly Top 100
1970,46,Indiana Wants Me R. Dean Taylor,55,Top40Weekly Top 100
1970,47,"Easy Come, Easy Go Bobby Sherman",56,Top40Weekly Top 100
1970,48,Express Yourself Charles Wright & the Watts 103rd Street Rhythm Band,57,Top40Weekly Top 100
1970,49,Still Water (Love) The Four Tops,58,Top40Weekly Top 100
1970,50,Make Me Smile Chicago,59,Top40Weekly Top 100
1970,51,The House of the Rising Sun Frijid Pink,60,Top40Weekly Top 100
1970,52,25 or 6 to 4 Chicago,61,Top40Weekly Top 100
1970,53,My Baby Loves Lovin’ White Plains,62,Top40Weekly Top 100
1970,54,Love or Let Me Be Lonely The Friends of Distinction,63,Top40Weekly Top 100
1970,55,United We Stand The Brotherhood of Man,64,Top40Weekly Top 100
1970,56,We’ve Only Just Begun The Carpenters,65,Top40Weekly Top 100
1970,57,Arizona Mark Lindsay,66,Top40Weekly Top 100
1970,58,Fire and Rain James Taylor,67,Top40Weekly Top 100
1970,59,Groovy Situation Gene Chandler,68,Top40Weekly Top 100
1970,60,Evil Ways Santana,69,Top40Weekly Top 100
1970,61,No Time The Guess Who,70,Top40Weekly Top 100
1970,62,Didn’t I (Blow Your Mind This Time) The Delfonics,71,Top40Weekly Top 100
1970,63,The Wonder of You Elvis Presley,72,Top40Weekly Top 100
1970,64,Up Around the Bend Creedence Clearwater Revival,73,Top40Weekly Top 100
1970,65,(If You Let Me Make Love To You Then) Why Can’t I Touch You? Ronnie Dyson,74,Top40Weekly Top 100
1970,66,I Just Can’t Help Believing B.J. Thomas,75,Top40Weekly Top 100
1970,67,It’s a Shame The Spinners,76,Top40Weekly Top 100
1970,68,For the Love of Him Bobbi Martin,77,Top40Weekly Top 100
1970,69,Mississippi Queen Mountain,78,Top40Weekly Top 100
1970,70,I Want to Take You Higher Ike & Tina Turner,79,Top40Weekly Top 100
1970,71,The Letter Joe Cocker,80,Top40Weekly Top 100
1970,72,Ma Belle Amie Tee Set,81,Top40Weekly Top 100
1970,73,The Bells The Originals,82,Top40Weekly Top 100
1970,74,Yellow River Christie,83,Top40Weekly Top 100
1970,75,Somebody’s Been Sleeping 100 Proof (Aged in Soul),84,Top40Weekly Top 100
1970,76,Vehicle The Ides of March,85,Top40Weekly Top 100
1970,77,Gimme Dat Ding The Pipkins,86,Top40Weekly Top 100
1970,78,Lay a Little Lovin’ On Me Robin McNamara,87,Top40Weekly Top 100
1970,79,Up the Ladder to the Roof The Supremes,88,Top40Weekly Top 100
1970,80,Travelin’ Band Creedence Clearwater Revival,89,Top40Weekly Top 100
1970,81,Come Saturday Morning The Sandpipers,90,Top40Weekly Top 100
1970,82,Psychedelic Shack The Temptations,91,Top40Weekly Top 100
1970,83,Without Love (There Is Nothing) Tom Jones,92,Top40Weekly Top 100
1970,84,Are You Ready? Pacific Gas & Electric,93,Top40Weekly Top 100
1970,85,"Woodstock Crosby, Stills , Nash & Young",94,Top40Weekly Top 100
1970,86,I’ll Never Fall in Love Again Dionne Warwick,95,Top40Weekly Top 100
1970,87,Look What They’ve Done to My Song Ma The New Seekers,96,Top40Weekly Top 100
1970,88,Walk A Mile In My Shoes Joe South,97,Top40Weekly Top 100
1970,89,The Thrill Is Gone B.B. King,98,Top40Weekly Top 100
1970,90,It’s Only Make Believe Glen Campbell,99,Top40Weekly Top 100
1970,91,Call Me Aretha Franklin,100,Top40Weekly Top 100
1970,92,The 1960s,Podcast,Top40Weekly Top 100
1970,93,The 1970s,Podcast,Top40Weekly Top 100
1970,94,The 1960s,Podcast,Top40Weekly Top 100
1970,95,The 1970s,Podcast,Top40Weekly Top 100
1970,96,"enabledLocations: ['Content', 'Recipe'],",window.adthriveCLS = {,Top40Weekly Top 100
1970,97,"injectedFromPlugin: true,","injectedSlots: [],",Top40Weekly Top 100
1970,98,w.adthrive = w.adthrive || {};,"(function(w, d) {",Top40Weekly Top 100
1970,99,w.adthrive.plugin = 'adthrive-ads-3.7.1';,w.adthrive.cmd = w.adthrive.cmd || [];,Top40Weekly Top 100
1970,100,w.adthrive.integration = 'plugin';,w.adthrive.host = 'ads.adthrive.com';,Top40Weekly Top 100
